Annotations/Genomes	Geopyr1	Gigmar1	Gigro1	Gloin1	Rhice1_1	Rhicl1	Rhidi1	Rhiir2_1	RhiirA1_1	RhiirA4	RhiirA5	RhiirB3	RhiirC2	Annotation Description
GH10										1				Glycoside Hydrolase Family 10
GH13			3	4	3		4	3	3	1	3	4	3	Glycoside Hydrolase Family 13
GH13_1			1	1	1		1	1	1		1	1	1	Glycoside Hydrolase Family 13 / Subf 1
GH13_8			1	1	1		2	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 8
GH13_23												1		Glycoside Hydrolase Family 13 / Subf 23
GH13_25			1	1	1		1	1	1		1	1	1	Glycoside Hydrolase Family 13 / Subf 25
GH13_31				1										Glycoside Hydrolase Family 13 / Subf 31
GH15			1	1	1		1	1	1		1		1	Glycoside Hydrolase Family 15
GH16			7		1									Glycoside Hydrolase Family 16
GH18			7	1	2		1	2	1		1		1	Glycoside Hydrolase Family 18
GH19				1										Glycoside Hydrolase Family 19
GH20			2	1	2		1	1	1		1		1	Glycoside Hydrolase Family 20
GH23				1	2									Glycoside Hydrolase Family 23
GH24			6	4	5		3	5	3		4		5	Glycoside Hydrolase Family 24
GH25			3	1			1	1	1		1		1	Glycoside Hydrolase Family 25
GH26				1										Glycoside Hydrolase Family 26
GH27			14	2	2		2	2	2		2		2	Glycoside Hydrolase Family 27
GH30			13											Glycoside Hydrolase Family 30
GH30_5			13											Glycoside Hydrolase Family 30 / Subf 5
GH31			3	2	3		2	2	2		2		2	Glycoside Hydrolase Family 31
GH35			2	2	2		2	2	2		2		2	Glycoside Hydrolase Family 35
GH36			2	1	1		1	1	1		1		1	Glycoside Hydrolase Family 36
GH37			2	1	1		1	1	1		1		1	Glycoside Hydrolase Family 37
GH38			1	1	1		1	1	1		1		1	Glycoside Hydrolase Family 38
GH39				1										Glycoside Hydrolase Family 39
GH47			7	5	6		5	5	5		5		5	Glycoside Hydrolase Family 47
GH63			2	2	1		1	1	1		1		1	Glycoside Hydrolase Family 63
GH72			1											Glycoside Hydrolase Family 72
GH81			1											Glycoside Hydrolase Family 81
GH85			2											Glycoside Hydrolase Family 85
GH91				1										Glycoside Hydrolase Family 91
GH92			10											Glycoside Hydrolase Family 92
GH108				1										Glycoside Hydrolase Family 108
GH125				2	1		2	2	2		1	2		Glycoside Hydrolase Family 125
GH133			1	1	1		1	1	1		1	1	1	Glycoside Hydrolase Family 133
GT			186	121	93		96	103	102		98		9	Glycosyl Transferase family
GT1			60	33	19		29	34	33		42		9	GlycosylTransferase Family 1
GT2			31	29	20		19	19	19		20			GlycosylTransferase Family 2
GT3			1	2	2		2	2	2		2			GlycosylTransferase Family 3
GT4			6	8	6		4	4	4		4			GlycosylTransferase Family 4
GT5			1											GlycosylTransferase Family 5
GT8			3	2	1		2	2	2					GlycosylTransferase Family 8
GT9				2										GlycosylTransferase Family 9
GT10			12											GlycosylTransferase Family 10
GT15			9	3	4		3	3	3		3			GlycosylTransferase Family 15
GT17				1										GlycosylTransferase Family 17
GT20			4	3	3		3	3	3		3			GlycosylTransferase Family 20
GT21			1	1	1		1	1	1		1			GlycosylTransferase Family 21
GT22			5	5	4		4	4	4		4			GlycosylTransferase Family 22
GT24			1	1	1		1	1	1		1			GlycosylTransferase Family 24
GT25			18											GlycosylTransferase Family 25
GT31			5	3	2		2	3	3		3			GlycosylTransferase Family 31
GT32			1		1		1	1	1		1			GlycosylTransferase Family 32
GT33			1	1	1		1	1	1		1			GlycosylTransferase Family 33
GT34			3	5	8		6	6	6		6			GlycosylTransferase Family 34
GT35			1	2	1		1	1	1		1			GlycosylTransferase Family 35
GT39			7	4	5		4	4	4		5			GlycosylTransferase Family 39
GT41			1	1	1		1	1	1		1			GlycosylTransferase Family 41
GT47			4											GlycosylTransferase Family 47
GT48				1	3		1	1	1					GlycosylTransferase Family 48
GT49			4	4	3		3	3	3					GlycosylTransferase Family 49
GT50			1	1	1		1	1	1					GlycosylTransferase Family 50
GT57			2	4	2		2	3	2					GlycosylTransferase Family 57
GT58			1	1	1		1	1	2					GlycosylTransferase Family 58
GT59			1	1	1		1	1	1					GlycosylTransferase Family 59
GT66			1	1	1		1	1	1					GlycosylTransferase Family 66
GT69				1			1	1	1					GlycosylTransferase Family 69
GT76			1	1	1		1	1	1					GlycosylTransferase Family 76
Myosin_motor			2	2	2		2	2	2		2			Glycosyltransferase Family 2
